Row ID,Order ID,Customer Name,Quantity,Discount,Profit
1,CA-2016-152156,Claire Gute,2,0,41.9136
2,CA-2016-152156,Claire Gute,3,0,219.582
3,CA-2016-138688,Darrin Van Huff,2,0,6.8714
4,US-2015-108966,Sean O'Donnell,5,0.45,-383.031
5,US-2015-108966,Sean O'Donnell,2,0.2,2.5164
6,CA-2014-115812,Brosina Hoffman,7,0,14.1694
7,CA-2014-115812,Brosina Hoffman,4,0,1.9656
8,CA-2014-115812,Brosina Hoffman,6,0.2,90.7152
9,CA-2014-115812,Brosina Hoffman,3,0.2,5.7825
10,CA-2014-115812,Brosina Hoffman,5,0,34.47
11,CA-2014-115812,Brosina Hoffman,9,0.2,85.3092
12,CA-2014-115812,Brosina Hoffman,4,0.2,68.3568
13,CA-2017-114412,Andrew Allen,3,0.2,5.4432
14,CA-2016-161389,Irene Maddox,3,0.2,132.5922
15,US-2015-118983,Harold Pawlan,5,0.8,-123.858
16,US-2015-118983,Harold Pawlan,3,0.8,-3.816
17,CA-2014-105893,Pete Kriz,6,0,13.3176
18,CA-2014-167164,Alejandro Grove,2,0,9.99
19,CA-2014-143336,Zuschuss Donatelli,2,0,2.4824
20,CA-2014-143336,Zuschuss Donatelli,3,0.2,16.011
21,CA-2014-143336,Zuschuss Donatelli,4,0.2,7.384
22,CA-2016-137330,Ken Black,7,0,5.0596
23,CA-2016-137330,Ken Black,7,0,15.6884
24,US-2017-156909,Sandra Flanagan,2,0.3,-1.0196
25,CA-2015-106320,Emily Burns,3,0,240.2649
26,CA-2016-121755,Eric Hoffmann,2,0.2,4.2224
27,CA-2016-121755,Eric Hoffmann,3,0,11.7741
28,US-2015-150630,Tracy Blumstein,7,0.5,-1665.0522
29,US-2015-150630,Tracy Blumstein,2,0.7,-7.0532
30,US-2015-150630,Tracy Blumstein,3,0.2,15.525
31,US-2015-150630,Tracy Blumstein,2,0.2,1.1016
32,US-2015-150630,Tracy Blumstein,6,0.2,9.7092
33,US-2015-150630,Tracy Blumstein,6,0.7,-5.715
34,US-2015-150630,Tracy Blumstein,2,0.2,3.546
35,CA-2017-107727,Matt Abelman,3,0.2,9.9468
